a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,y,x
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:56,MIA,rebound,,,,,,,,,,Alonzo Mourning,,,,,,def,,
Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:49,CHI,foul,,,,,,,,Antoine Walker,,Ben Gordon,,,,,,personal,,
Andres Nocioni,Ben Gordon,Chris Duhon,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:49,CHI,sub,,,,P.J. Brown,,Ben Wallace,,,,,,,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:49,CHI,sub,,,,Kirk Hinrich,,Ben Gordon,,,,,,,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:41,CHI,foul,,,,,,,,Antoine Walker,,Tyrus Thomas,,,,,,personal,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:41,MIA,free throw,,,,,,,1,,2,Antoine Walker,,,foul,made,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:41,MIA,free throw,,,,,,,2,,2,Antoine Walker,,,foul,missed,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:39,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:32,CHI,foul,,,,,,,,Udonis Haslem,,Tyrus Thomas,,,,,,offensive,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,P.J. Brown,Tyrus Thomas,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:32,CHI,turnover,,,,,,,,,,Tyrus Thomas,,,foul,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:32,CHI,sub,,,,Luol Deng,,Tyrus Thomas,,,,,,,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:11,MIA,shot,,,P.J. Brown,,,,,,,Udonis Haslem,,,,missed,,jump,22,14
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:11,OFF,jump ball,,P.J. Brown,,,Udonis Haslem,,,,,,,Chris Duhon,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:11,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,1:06,CHI,turnover,,,,,,,,,,Chris Duhon,,,bad pass,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:53,MIA,shot,,,,,,,,,,Gary Payton,,,,missed,,jump,37,21
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:51,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:44,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,36,28
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:43,MIA,rebound,,,,,,,,,,Antoine Walker,,,,,,def,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:27,MIA,turnover,,,,,,,,,,Alonzo Mourning,,,3 second violation,,,,,
Andres Nocioni,Ben Gordon,Kirk Hinrich,Luol Deng,P.J. Brown,Alonzo Mourning,Antoine Walker,Chris Quinn,Gary Payton,Udonis Haslem,1,0:27,CHI,sub,,,,Ben Gordon,,Chris Duhon,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,0:27,MIA,sub,,,,James Posey,,Alonzo Mourning,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,0:03,CHI,shot,,,,,,,,,,Andres Nocioni,2,,,made,,driving layup,25,6
Andres Nocioni,Ben Gordon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,0:00,MIA,shot,,,,,,,,,,Chris Quinn,,,,missed,,jump,26,50
Andres Nocioni,Ben Gordon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Gary Payton,James Posey,Udonis Haslem,1,0:00,MIA,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,11:42,CHI,shot,Chris Duhon,,,,,,,,,Luol Deng,2,,,made,,jump,5,7
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,11:18,MIA,turnover,,,,,,,,,,Dwyane Wade,,,bad pass,,Kirk Hinrich,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,11:12,CHI,shot,,,,,,,,,,Andres Nocioni,2,,,made,,hook,27,14
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,11:10,CHI,foul,,,,,,,,,,Andres Nocioni,,,,,,technical,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,11:10,MIA,free throw,,,,,,,1,,1,Dwyane Wade,,,technical,made,,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:51,MIA,shot,,,,,,,,,,Antoine Walker,2,,,made,,driving layup,25,6
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:30,CHI,shot,,,Shaquille O'Neal,,,,,,,Andres Nocioni,,,,missed,,jump,30,18
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:28,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,off,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:24,CHI,shot,,,,,,,,,,Kirk Hinrich,2,,,made,,jump,47,21
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:16,MIA,turnover,,,,,,,,,,Dwyane Wade,,,bad pass,,Luol Deng,,,
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:12,CHI,shot,,,,,,,,,,Chris Duhon,2,,,made,,driving layup,25,6
Andres Nocioni,Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:12,MIA,foul,,,,,,,,Chris Duhon,,Chris Quinn,,,,,,shooting,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:12,CHI,sub,,,,Tyrus Thomas,,Andres Nocioni,,,,,,,,,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,10:12,CHI,free throw,,,,,,,1,,1,Chris Duhon,,,foul,made,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:58,MIA,shot,,,Tyrus Thomas,,,,,,,Shaquille O'Neal,,,,missed,,hook,28,10
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:57,MIA,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,off,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:55,MIA,turnover,,,,,,,,,,Shaquille O'Neal,,,stepped out of bounds,,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:42,CHI,foul,,,,,,,,James Posey,,Luol Deng,,,,,,offensive,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:42,CHI,turnover,,,,,,,,,,Luol Deng,,,foul,,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:21,MIA,turnover,,,,,,,,,,Dwyane Wade,,,bad pass,,P.J. Brown,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:15,CHI,shot,Chris Duhon,,,,,,,,,Luol Deng,2,,,made,,jump,4,7
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Chris Quinn,Dwyane Wade,James Posey,Shaquille O'Neal,2,9:08,MIA,timeout,,,,,,,,,,,,,,,,regular,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,James Posey,Shaquille O'Neal,2,9:08,MIA,sub,,,,Gary Payton,,Chris Quinn,,,,,,,,,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,James Posey,Shaquille O'Neal,2,9:03,CHI,foul,,,,,,,,Dwyane Wade,,P.J. Brown,,,,,,personal,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,James Posey,Shaquille O'Neal,2,8:49,MIA,shot,,,,,,,,,,Antoine Walker,2,,,made,,running jump,20,9
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,James Posey,Shaquille O'Neal,2,8:29,MIA,foul,,,,,,,,Kirk Hinrich,,Gary Payton,,,,,,personal,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:29,MIA,sub,,,,Udonis Haslem,,James Posey,,,,,,,,,,,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:19,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,driving layup,25,6
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:17,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,off,,
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:15,CHI,shot,,,,,,,,,,Tyrus Thomas,2,,,made,,follow up dunk,25,6
Chris Duhon,Kirk Hinrich,Luol Deng,P.J. Brown,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:00,CHI,foul,,,,,,,,Shaquille O'Neal,,P.J. Brown,,,,,,personal,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,8:00,CHI,sub,,,,Ben Wallace,,P.J. Brown,,,,,,,,,,,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:49,MIA,shot,,,,,,,,,,Antoine Walker,,,,missed,,jump,48,6
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:47,MIA,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,off,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:45,MIA,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,hook,24,12
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:43,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:40,CHI,shot,Ben Wallace,,,,,,,,,Luol Deng,2,,,made,,running dunk,25,6
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,7:22,MIA,shot,Antoine Walker,,,,,,,,,Shaquille O'Neal,2,,,made,,dunk,25,6
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:58,MIA,foul,,,,,,,,Tyrus Thomas,,Udonis Haslem,,,,,,shooting,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:58,CHI,free throw,,,,,,,1,,2,Tyrus Thomas,,,foul,missed,,,,
Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:58,CHI,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:58,CHI,sub,,,,Ben Gordon,,Chris Duhon,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:58,CHI,free throw,,,,,,,2,,2,Tyrus Thomas,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:57,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:38,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,fade away,38,21
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:17,CHI,foul,,,,,,,,Shaquille O'Neal,,Luol Deng,,,,,,offensive,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,Tyrus Thomas,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:17,CHI,turnover,,,,,,,,,,Luol Deng,,,foul,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,6:17,CHI,sub,,,,Viktor Khryapa,,Luol Deng,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:58,MIA,shot,,,,,,,,,,Gary Payton,,,,missed,,jump,29,30
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:56,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:42,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,12,15
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:41,CHI,rebound,,,,,,,,,,Viktor Khryapa,,,,,,off,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:35,CHI,shot,Viktor Khryapa,,,,,,,,,Kirk Hinrich,2,,,made,,jump,46,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:22,MIA,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,hook,23,13
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:20,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,5:07,CHI,shot,Tyrus Thomas,,,,,,,,,Kirk Hinrich,2,,,made,,reverse layup,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:58,MIA,timeout,,,,,,,,,,,,,,,,short,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:58,OFF,timeout,,,,,,,,,,,,,,,,official,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:46,CHI,foul,,,,,,,,,,Tyrus Thomas,,,,,,illegal defense,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:46,MIA,free throw,,,,,,,1,,1,Dwyane Wade,,,technical,missed,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:46,MIA,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:33,MIA,shot,,,Ben Wallace,,,,,,,Udonis Haslem,,,,missed,,driving layup,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:32,MIA,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:32,MIA,turnover,,,,,,,,,,,,,24 second violation,,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:22,CHI,shot,,,,,,,,,,Kirk Hinrich,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:22,MIA,foul,,,,,,,,Kirk Hinrich,,Antoine Walker,,,,,,shooting,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:22,CHI,free throw,,,,,,,1,,1,Kirk Hinrich,,,foul,made,,,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:04,MIA,shot,,,,,,,,,,Gary Payton,,,,missed,,jump,40,25
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,4:02,CHI,rebound,,,,,,,,,,Viktor Khryapa,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:57,CHI,shot,Kirk Hinrich,,,,,,,,,Ben Gordon,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:45,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,32,21
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:43,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Gordon,Ben Wallace,Kirk Hinrich,Tyrus Thomas,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:42,MIA,foul,,,,,,,,,,Dwyane Wade,,,,,,technical,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:42,CHI,sub,,,,Andres Nocioni,,Tyrus Thomas,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:42,CHI,free throw,,,,,,,1,,1,Ben Gordon,,,technical,missed,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:42,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:32,CHI,turnover,,,,,,,,,,Ben Gordon,,,bad pass,,,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:12,MIA,turnover,,,,,,,,,,Shaquille O'Neal,,,bad pass,,Ben Gordon,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:09,CHI,turnover,,,,,,,,,,Viktor Khryapa,,,bad pass,,Gary Payton,,,
Andres Nocioni,Ben Gordon,Ben Wallace,Kirk Hinrich,Viktor Khryapa,Antoine Walker,Dwyane Wade,Gary Payton,Shaquille O'Neal,Udonis Haslem,2,3:06,CHI,foul,,,,,,,,Gary Payton,,Kirk Hinrich,,,,,,personal,,
